Here log for real horse accelerometer data. Accelerometer located on halter on the horse head,
between ears. Here free walk.
z - vertical axis, x - from left to right side of the horse, y - from head to tale. 
ax,ay,az - accelerometer data, gx,gy,gz - gyroscope data. ts - timestamp in milliseconds real gyroscope data multiplyed by 10 000
frequency - 10 Hz

Here link on youtube video  of this set 
https://www.youtube.com/watch?v=d2IUOKfblZQ
https://www.youtube.com/watch?v=eULXeQzOwss
https://www.youtube.com/watch?v=iKY964PpItg
https://www.youtube.com/watch?v=N-dKfCw98-U


----------------------------------------------------------------------------

Enter command>

Starting measure, name: alastemp


ax;ay;az;gx;gy;gz;ts

52,-24,1028,3325,-23100,262,73
68,-32,1020,4550,-9537,-350,166
60,-20,1024,-3587,-9012,7700,260
56,-32,1020,1137,-8400,10675,353
64,-32,1024,-175,-7962,-7087,446
48,-28,1032,4987,-20825,-350,540
56,-16,1016,700,-13912,-3150,633
64,-20,1020,5075,-7525,-7262,726
56,-12,1016,-3237,-14350,-7700,819
56,-20,1012,-6825,-17937,-3500,913
48,-16,1012,-5512,-20474,-3062,1006
76,-16,1008,-7700,4900,-10937,1099
40,-16,1016,-14437,-21087,-13912,1192
60,-28,1036,-7525,-23800,-16800,1285
76,-28,1024,-5250,9012,6299,1378
56,-20,1020,-1750,-11200,-31500,1471
64,-24,1024,-1312,-787,25111,1565
56,-20,1020,7962,-21525,-23712,1658
64,-32,1032,175,-19162,-31150,1751
68,-24,1052,-30712,21612,-27649,1844
80,-28,1080,25374,-16271,-24853,1938
-44,-32,1036,12861,-9801,2186,2031
-64,-32,992,11287,-10853,-20300,2124
100,0,984,26512,-18464,-351,2219
104,-16,996,15925,12774,29311,2313
100,-16,1036,4112,-16100,1662,2407
96,-60,1052,13037,2800,3587,2501
56,-20,1028,-21436,-18812,-14962,2595
88,28,996,26600,29574,-15487,2689
104,-12,1000,31761,30624,-14962,2783
88,-8,1012,25111,-7962,-5862,2877
84,-48,1016,-22400,-8487,-6037,2971
100,-32,1032,7962,-14262,-17237,3065
84,-28,1024,25987,-23450,4287,3159
116,-20,1020,17587,-15050,-5600,3253
84,-16,1032,8837,-14350,1225,3348
88,-8,1020,-20300,-24412,-5600,3442
92,-12,1008,-29224,-13650,-27475,3536
92,-8,1004,-20650,-18550,-15662,3630
100,-24,1008,-15837,-17675,-9012,3724
96,-32,1036,-6475,-6825,3062,3818
100,-36,1036,32112,4287,22487,3912
80,-24,1052,1664,9712,24150,4006
80,-4,1044,19951,787,19600,4100
64,20,1032,-20910,3675,32637,4194
52,-8,1092,-10758,23274,-12510,4288
88,-20,1124,2807,-14000,9628,4382
-60,144,1144,-1738,31935,23365,4476
204,228,1072,-25451,14783,1665,4570
64,316,1024,17679,15837,-5155,4664
152,236,772,-29485,-31849,22843,4758
4,444,868,4378,8050,25726,4852
12,580,1084,-2885,-7704,31586,4946
180,368,848,16192,-2454,-19514,5039
116,736,792,-10497,4982,29224,5133
332,508,596,8054,-19776,11196,5227
212,752,632,6650,-23803,14435,5321
188,572,624,-30717,-20565,-18376,5415
520,504,764,-22056,-8925,-32632,5509
280,456,956,-16715,31499,23625,5697
408,152,1076,14876,7350,2889,5791
380,304,888,3,32726,-22222,5885
244,664,732,-24678,-11986,6390,5979
436,328,760,-29314,3678,-20122,6072
328,352,988,32371,8932,-28522,6166
76,220,980,7696,-6299,-29308,6260
172,116,944,-11818,-16711,-5249,6354
256,4,968,-12693,18376,17583,6448
256,20,1100,4721,876,19685,6542
156,0,1160,-27914,-19160,10845,6636
-68,24,1128,-5425,-8139,-7092,6729
32,216,1016,-22925,2625,32718,6823
-84,248,1036,7174,26333,-29664,6917
128,256,1048,-27737,14786,8660,7011
