Here log for real horse accelerometer data. Accelerometer located on halter on the horse head,
between ears. Here free walk on rope.
z - vertical axis, x - from left to right side of the horse, y - from head to tale. 
ax,ay,az - accelerometer data, gx,gy,gz - gyroscope data. ts - timestamp in milliseconds real gyroscope data multiplyed by 10 000
frequency - 10 Hz

Here link on youtube video  of this set 

https://www.youtube.com/watch?v=vSejAJmoIL4

----------------------------------------------------------------------------

Enter command>Batt voltage: 4.1894531250
Enter command>

Starting measure, name: alscord
68,-136,1020,5337,9975,2187,81
116,-124,1012,-22486,-1751,-23360,175
168,-180,1004,-31850,-2276,3061,269
160,-108,996,6212,-16887,-13474,363
120,-104,1000,-14000,-25812,17850,457
104,-144,1084,2100,24147,4029,550
184,-152,1088,-9625,-12865,6396,643
136,-164,1068,-27124,-5250,-8480,736
112,-148,1012,16714,1139,-169,829
72,-104,984,-32460,22837,5781,923
128,-108,952,1489,-31062,18382,1017
136,-116,960,7351,-2362,-25630,1111
212,-104,960,-31322,-13297,-1043,1204
140,-104,976,-14347,-4633,-23091,1297
-64,-56,1056,27476,-18019,-6204,1390
-124,-76,1092,-6475,16275,-31146,1483
-64,-76,1064,-25814,30619,19078,1576
108,-152,1096,-2714,-22579,-20821,1670
44,-112,1016,-10412,-265,-21787,1764
-24,104,960,-12165,27735,-4639,1858
80,0,1028,-30101,-14440,-29224,1951
52,-80,988,-26774,-18639,-15139,2044
0,112,912,5687,5511,13910,2137
112,-36,952,-9450,-4817,24236,2230
264,168,1028,23096,-30185,7087,2323
104,-192,1036,-13039,16976,86,2417
-20,-196,892,25026,-13128,-28436,2511
364,-260,1064,30103,18111,25645,2604
264,-260,1076,-10934,-16972,7182,2697
108,-196,1144,-30097,6039,25817,2790
160,-68,1048,3762,9099,-21868,2883
160,52,912,22222,32461,-8219,2976
60,52,812,20824,26336,-7958,3069
136,-176,1020,26075,-1139,28967,3162
-56,-124,1020,10061,1486,29575,3256
88,-240,1008,14261,28960,32201,3350
24,-188,1184,-25375,3849,-13210,3443
204,-384,1156,17765,-4637,27565,3536
120,-280,1000,-15746,-13210,-13474,3629
-48,-120,844,-14173,-16624,23624,3722
-64,112,748,2186,11375,15043,3815
-340,-40,940,-23100,-187,-24412,3908
564,-56,1140,8047,24326,-12946,4001
156,-392,1040,24500,-9444,-18896,4095
132,-144,1156,3326,32203,-31493,4189
92,-500,1372,14531,-27999,11817,4282
-40,-168,980,-18632,3410,-20644,4375
88,-12,704,-5074,-7004,-11191,4468
344,136,588,29743,-31499,30288,4561
112,-180,628,23880,17678,11298,4654
84,-408,1136,-21004,15136,-22827,4747
-36,-428,1252,6649,-20915,4729,4841
-48,-260,1192,17497,-11204,14876,4935
164,-436,1232,-6299,-5339,-7958,5028
124,-432,1152,14442,-14874,-21347,5121
36,-364,872,-21432,26076,3328,5214
-144,-64,740,26599,-22137,-7612,5307
252,-268,1044,-20300,-11025,4907,5493
344,-284,984,22401,10593,17418,5586
112,-256,1244,-21260,-8921,26782,5680
-24,-500,1280,12868,-5687,18117,5773
-60,-336,1020,-31230,14171,-26244,5866
120,-24,792,2628,22835,-23269,5959
196,-24,708,23974,-23187,4820,6054
224,396,776,-29315,-15572,6396,6148
80,-212,1044,6211,1751,8753,6242
-80,-184,1172,18376,-18289,26774,6336
-64,-200,1064,-16100,-20389,4374,6430
0,-96,1008,32635,27033,21526,6524
-4,-160,1148,24853,-19950,32640,6618
116,-272,1100,28004,-27385,9279,6712
4,-120,880,-30533,7614,30889,6806
-168,-28,864,18899,22049,-6387,6900
-368,56,1012,28694,-4468,-16889,6994
384,-236,1096,8396,6993,-16002,7088
168,-136,988,-6124,-13121,-24229,7182
-56,-48,1000,12424,6742,-9180,7276
-4,-276,1188,15399,3497,621,7370
164,-308,1212,31414,-1315,2373,7464
88,-232,1116,17765,-32376,-26502,7558
268,-116,988,3942,27822,32212,7652
224,104,684,11289,26778,-32452,7746
-52,164,616,-3329,1668,-32368,7840
0,-76,1136,6561,-2100,32115,7934
68,-244,1056,13824,1048,-7522,8028
-16,100,1028,-7426,-30876,17681,8122
-388,28,904,-366,18537,-338,8216
1248,-284,784,-11121,17530,-22172,8310
-2040,-1116,684,2018,27697,24860,8404
1600,-92,644,1180,-19202,-11260,8498
-2040,576,1208,11391,521,10491,8592
844,-988,804,-10404,18596,30278,8686
604,-36,1020,20730,-18025,1575,8780
196,-140,780,6990,-17132,-9972,8874
84,8,856,-19250,30895,-17746,8968
56,-248,928,24070,23457,8238,9062
-200,-72,912,29231,29314,17159,9156
96,60,888,-30008,-14353,-17835,9250
384,-40,940,22139,26689,28193,9344
-152,-156,1148,-23012,25201,-10927,9532
-132,52,980,25283,-29576,-21869,9626
-108,-112,944,-3242,-28001,-172,9719
-28,-328,1132,-13825,29747,-32720,9813
92,-272,1204,-13035,-32549,4117,9907
-40,-228,1052,-7522,-1661,5342,10001
-112,-116,1008,-9099,25200,31762,10095
-200,56,832,-9189,-30975,-3675,10189
-284,72,1020,10499,-11121,28612,10283
176,-64,1072,-12426,-3414,4378,10377
-8,-88,860,-5776,-16714,23104,10471
224,-104,972,-6301,-10761,-31932,10564
64,-364,1172,14440,31587,-13821,10657
76,-252,1236,25993,22836,-12247,10751
124,104,776,-13390,-29661,-3144,10939
4,64,656,-23014,-30186,-11110,11033
24,-132,988,-3503,-26689,-20205,11127
-64,-272,1016,-31678,-178,21089,11221
28,-264,1168,3497,25196,-25021,11315
260,-440,1404,-24935,-17499,24068,11409
40,-400,1112,3248,-14059,-13567,11503
-588,-348,1020,-255,30879,14007,11597
-20,96,928,2800,14526,-11471,11690
-416,24,1068,-22578,-32648,15401,11783
-28,88,904,-22142,28605,-23974,11876
128,-76,856,25462,-24590,-11016,11970
276,-244,1188,8757,28789,-18543,12064
96,-268,1136,-26852,6739,19254,12158
0,68,880,-18805,-25201,18382,12252
208,260,684,8400,30625,28363,12346
196,432,676,3321,-6294,-32102,12440
92,156,1116,-1054,-20819,-1746,12534
-300,-284,1192,-17240,-8143,20392,12628
-28,-148,1020,-26340,21869,26164,12722
60,12,1120,29308,1485,21792,12816
240,-292,1244,12776,-10585,30631,12909
60,-240,1152,11731,-12858,-26683,13002
-128,-216,1028,4731,-1051,-26249,13095
-116,88,904,-14612,18985,-1403,13188
-204,320,936,-10326,7257,-9364,13282
128,140,776,27996,11197,-32724,13376
220,48,776,-24415,27562,-18544,13470
324,-156,1072,8662,-12685,19076,13564
