Here log for real horse accelerometer data. Accelerometer located on halter on the horse head,
between ears. Here 2 sets - 33 steps and 9 steps.
z - vertical axis, x - from left to right side of the horse, y - from head to tale. 
ax,ay,az - accelerometer data, gx,gy,gz - gyroscope data. ts - timestamp in milliseconds real gyroscope data multiplyed by 10 000
frequency - 10 Hz


Here link on youtube video  of this set 
https://www.youtube.com/watch?v=nfaMHzxl-Ik

----------------------------------------------------------------------------
alaska-33
ax;ay;az;gx;gy;gz;ts
-268,412,900,-16975,-31411,7001,34
-240,404,884,-18287,-10674,12251,127
-244,408,892,-19862,-13911,1926,221
-244,416,888,-16275,-4199,-10674,314
-252,404,892,-20650,5339,-13911,408
-260,408,892,-17587,-2099,-12774,502
-268,412,892,-18725,-2886,-24674,595
-272,404,896,-19687,-22049,-30011,689
-272,400,896,-19687,-26424,28700,782
-260,388,892,-20650,-29924,-31411,876
-264,392,900,-16800,-25286,-32549,970
-268,392,908,-18112,-28261,-29661,1063
-276,388,904,-12075,29050,27475,1157
-276,392,896,-11112,20300,20037,1250
-268,388,888,-4900,23887,23975,1344
-264,392,896,-9712,-28174,31325,1437
-268,380,900,-15837,-28874,23887,1531
-272,396,908,-20212,27037,29400,1625
-272,376,908,-10937,29750,29925,1718
-276,384,904,-10150,29400,-29574,1812
-264,380,904,-3587,-25811,-31411,1905
-260,396,896,-14612,-17411,-29224,1999
-284,388,900,-17675,31675,-31674,2092
-272,384,904,-16187,26950,-27561,2186
-276,384,908,-12337,-31149,31850,2279
-268,388,900,-15050,-30624,29050,2373
-276,388,896,-14437,26337,-30186,2467
-268,376,900,-10587,-29574,32550,2560
-272,380,908,-12512,-27124,-25461,2654
-272,384,904,-11637,-30186,-24324,2747
-272,384,896,-9012,-32199,-28174,2841
-256,384,900,-12162,-29836,-32374,2934
-256,392,900,-17675,-29749,-28436,3028
-276,384,912,-10762,-31674,-29136,3122
-276,372,916,-3587,30275,-30886,3215
-260,388,900,-13475,-15399,32550,3309
-268,384,900,-24325,-22399,28000,3402
-280,380,904,-16012,32637,31325,3496
-284,384,904,-7875,17150,27650,3589
-268,372,908,1575,21175,25025,3683
-264,372,920,-5425,25637,-29311,3776
-280,376,904,-7000,26512,-29136,3869
-264,372,904,-20300,-32374,-27736,3963
-272,364,932,-18637,-15224,-28874,4056
-264,368,936,-2012,-25811,-27911,4150
-256,376,916,9187,-15837,701,4243
-260,392,888,16362,12339,7789,4337
-312,388,892,-350,-31760,3851,4430
-288,392,888,-15837,-10411,-5686,4523
-288,392,896,-20650,-2799,-16274,4616
-304,380,904,-16625,-24149,-6999,4709
-276,384,908,-10325,23362,-20474,4803
-304,392,892,-5512,7089,-12336,4896
-296,396,884,-1225,-29049,-23536,4990
-284,388,880,-17325,-15311,32637,5083
-296,392,892,-5512,-26424,32550,5270
-316,384,904,-14612,29137,25725,5363
-308,380,888,-3500,27037,31762,5457
-300,388,908,-10062,-19949,31762,5550
-308,388,888,-19512,-25724,-28874,5644
-316,380,888,-23362,-32461,-26161,5737
-300,384,896,-21875,-29399,-27299,5831
-308,376,896,-11725,-11374,-28436,5924
-292,380,888,-9625,-1749,-22749,6017
-324,376,888,-18900,-3236,31325,6110
-336,380,888,-21262,31150,28087,6203
-304,376,888,-23362,-30536,-30449,6297
-312,372,896,-19862,-23886,-27999,6390
-328,364,900,-12775,-25636,32375,6484
-320,372,888,-8837,-27999,30625,6577
-356,384,892,-10850,-30625,17587,6671
-320,368,884,-5250,-8401,-5687,6764
-264,372,896,19337,-25814,-2800,6857
-288,368,916,-24324,785,-27650,6950
-268,364,928,-9185,6644,-18903,7043
-140,412,880,20565,-10767,-24679,7136
-168,444,888,3240,-13653,28434,7229
-136,400,956,21878,26160,7958,7323
-172,404,764,31590,20997,-19689,7416
-132,892,700,32549,-26250,-7792,7510
-444,860,964,6824,7344,-31415,7603
-224,392,936,-22744,23974,9451,7696
-156,592,864,23892,21439,30365,7789
72,724,656,11814,24595,25725,7882
-36,564,504,-7179,25817,-23099,7975
4,716,732,-27923,17421,14439,8068
-476,344,932,-8231,-21172,-19161,8162
-280,348,1004,7872,13299,31154,8255
-68,200,996,-25985,-19944,-13469,8348
-80,372,972,3853,5174,-22741,8441
-588,604,1132,-13474,-32193,-16354,8534
-496,516,836,-16276,15492,-22218,8627
-420,516,512,16185,14525,-8222,8720
-376,532,356,2966,5160,-21872,8813
-208,460,764,30439,-10496,31671,8906
-552,12,1108,10149,22224,-30271,9000
-400,144,1068,-28432,-10324,20654,9093
-380,544,924,-26860,704,31854,9186
-504,492,796,7700,20914,23361,9279
-376,360,672,2096,-30536,-22480,9465
-328,332,1084,10496,7965,22406,9558
-612,120,1088,-5864,7083,-11541,9651
-516,300,996,-26072,-14357,-7955,9744
-180,308,980,-14429,-14179,23275,9838
-24,776,776,13911,16889,-27560,9931
140,864,540,-1846,26343,14879,10025
-172,636,500,-26879,16015,-22310,10119
-288,-296,904,-12867,15668,6215,10213
-548,-72,1484,-29747,-30532,14093,10307
-512,180,1352,-29394,15928,-787,10401
-340,768,596,-6911,-30535,-13212,10589
-172,768,448,18979,3674,20303,10683
-176,452,696,-31248,23708,20217,10777
-192,-132,976,-14090,-13126,28790,10871
-336,-32,1160,-31412,-26601,-23007,10965
-68,332,1108,-2887,-8489,-24410,11059
-12,700,856,-18986,-11111,17150,11153
-204,588,616,-26339,26340,12774,11247
-264,20,840,23796,-5254,-21874,11341
-80,-92,1308,-2624,-20740,-9278,11435
-60,-8,1360,-22132,-7087,-13649,11529
-184,184,1180,-5946,-4724,24153,11623
-172,272,836,30979,-1661,7615,11717
-156,848,600,6479,-14612,-8221,11811
-112,644,480,-7351,15053,-6914,11905
-180,276,668,12068,25896,-13737,11999
-40,68,1168,18016,-8751,-23886,12093
12,-92,1376,90,3503,9890,12187
-68,344,1036,-24496,23104,23101,12281
-212,140,564,20129,12953,31325,12375
